filename,gs_base_rs,gs_base_ars,gs_base_ss,gs_multi_rs,gs_multi_ars,gs_multi_ss,gs_burnin_rs,gs_burnin_ars,gs_burnin_ss
data-k-3-320.csv,0.687047047,0.322820365,0.221135548,0.740866867,0.425994309,0.480707414,0.607365365,0.184480186,0.28806221
data-k-3-321.csv,0.56846046,0.019344374,-0.280569071,0.507851852,0.077267495,0.099288661,0.481833834,0.006360662,-0.089317714
data-k-3-322.csv,0.546714715,0.042599227,-0.257457508,0.523107107,0.074840315,0.209705197,0.556122122,0.043729175,0.241417783
data-k-3-323.csv,0.518804805,0.138945033,-0.070932169,0.648880881,0.238602697,0.365210561,0.550792793,0.146148381,0.105714338
data-k-3-324.csv,0.755555556,0.517532113,0.654811057,0.698558559,0.391259119,0.482897274,0.673761762,0.342096038,0.173599457
data-k-3-325.csv,0.705553554,0.244862984,0.022279155,0.702166166,0.304337452,0.46598095,0.751805806,0.325971764,0.394152756
data-k-3-326.csv,0.529817818,0.062932167,-0.125295198,0.538808809,0.031899214,0.455845687,0.539311311,0.021531875,0.122549467
data-k-3-327.csv,0.820820821,0.560668616,0.231031681,0.885645646,0.695697458,0.657138649,0.861085085,0.620870526,0.663650888
data-k-3-328.csv,0.561983984,0.1089089,-0.210106973,0.544094094,0.096838414,0.468852881,0.529565566,0.066173111,-0.136304333
data-k-3-329.csv,0.597083083,0.205444936,-0.056817216,0.674094094,0.279817619,0.465626388,0.594698699,0.171640027,0.111003794
data-k-3-330.csv,0.523905906,0.047208335,-0.063927463,0.615625626,0.230368363,0.523616221,0.595033033,0.190759883,0.036670847
data-k-3-331.csv,0.524890891,0.116229411,-0.151031829,0.628142142,0.217009936,0.430677205,0.602592593,0.187839533,0.12401804
data-k-3-332.csv,0.669617618,0.312843152,0.277230601,0.765089089,0.516159506,0.50772746,0.746454454,0.482818173,0.492836377
data-k-3-333.csv,0.539793794,0.084432156,0.026539561,0.637821822,0.198061986,0.378269717,0.565079079,0.092808945,-0.037135974
data-k-3-334.csv,0.616102102,0.227884595,0.240757553,0.671653654,0.341807744,0.533390787,0.601157157,0.196127053,0.299015347
data-k-3-335.csv,0.964700701,0.914579602,0.782362985,0.902074074,0.779325544,0.661289769,0.954004004,0.890740144,0.720707106
data-k-3-336.csv,0.597165165,0.18919984,0.164834493,0.638904905,0.266982576,0.336142225,0.555645646,0.106615271,0.184465377
data-k-3-337.csv,0.51037037,0.007687479,-0.205664334,0.554694695,0.028151501,0.3004209,0.535095095,0.023695033,-0.034542662
data-k-3-338.csv,0.588854855,0.171489408,0.079392258,0.625701702,0.243031084,0.370170627,0.539169169,0.116447525,0.391293637
data-k-3-339.csv,0.756118118,0.341127523,0.049416553,0.507463463,0.135452867,0.451385175,0.701785786,0.253239602,-0.039092271
data-k-3-340.csv,0.473445445,-0.006114716,-0.234173256,0.483875876,-0.025851096,0.080459412,0.472892893,-0.005621379,-0.128044148
data-k-3-341.csv,0.646592593,0.09723472,-0.251162449,0.509535536,0.048027889,0.118763979,0.683213213,0.091803878,-0.222613759
