filename,true_clusters,pred_clusters,gs_rs,gs_ars,gs_ss,gs_burnin_rs,gs_burnin_ars,gs_burnin_ss
data-k-8-31.csv,8,5,0.8856227422742274,0.6864287430333134,0.5123554776060562,0.8937628162816281,0.6939184718810147,0.6626530535372426
data-k-8-32.csv,8,4,0.8027308530853086,0.4873856087295992,0.4503397614383279,0.7890198619861987,0.4625619957195989,0.5031113641515258
data-k-8-33.csv,8,4,0.8180593859385938,0.4858303686729812,0.4643228887272704,0.8420470447044704,0.5534197050346555,0.5933103097358986
data-k-8-34.csv,8,7,0.8081995199519952,0.406263093841344,0.3443573940892703,0.8204999299929993,0.43203572016282876,0.5432565732861943
data-k-8-35.csv,8,2,0.636767596759676,0.3554866226307761,0.8721411761793988,0.6376508850885089,0.3566268412479772,0.871215445352204
data-k-8-36.csv,8,2,0.44725300530053,0.15062518089549928,0.657866172749619,0.4769909790979098,0.17258427144972116,0.6527839453676942
data-k-8-37.csv,8,2,0.5929291529152916,0.18933162032276663,0.41464274903260123,0.6082604260426042,0.2407942755132628,0.594606725055476
data-k-8-38.csv,8,2,0.5916675667566756,0.21058796883162031,0.42088805761975373,0.6180093809380938,0.2860162828629157,0.5333167236649516
data-k-8-39.csv,8,2,0.6157311731173117,0.27199937040089345,0.6565865689440814,0.6231273327332734,0.2805900404402557,0.6792194793051946
data-k-8-40.csv,8,4,0.9058261226122613,0.7652353107696483,0.7410101351014322,0.913475707570757,0.7823954635586492,0.7549672139385039
data-k-8-41.csv,8,2,0.6729045304530453,0.3887396454909946,0.7312466135439044,0.6738885088508851,0.3904922378577107,0.7358309971282934
data-k-8-42.csv,8,4,0.644363496349635,0.19575221769176207,0.08046418304977611,0.7006130213021302,0.29443164416581447,0.33375020639904396
data-k-8-43.csv,8,2,0.6668856485648564,0.34451719915081064,0.6972575385397293,0.6749908590859086,0.35861977042664844,0.7145022332809237
data-k-8-44.csv,8,3,0.7948962096209621,0.5351004225775784,0.6760410310677384,0.8076119611961197,0.5607306147251783,0.6974505202869287
